AC,priority,label-val,between_connectivity,cluster
P01211,False,22,0,0.0
P01210,False,22,0,0.0
P22005,False,22,0,0.0
P04094,False,22,0,0.0
Q058G9,False,37,0,0.0
P09916,False,33,0,0.0
F1QQI2,False,33,0,1.0
P82270,False,2,0,2.0
P82271,False,2,0,2.0
P69391,False,40,0,3.0
P33587,False,22,0,1.0
P01286,False,33,0,0.0
P63292,False,49,0,0.0
M0R8L2,False,13,0,1.0
P20366,False,13,0,3.0
P41539,False,13,0,3.0
P06767,False,13,0,3.0
Q86UU9,False,33,0,4.0
Q08535,False,48,0,1.0
G0W2H8,False,15,0,4.0
P06575,False,16,0,0.0
G0W2H9,False,15,0,4.0
Q07009,False,17,0,0.0
P50982,False,46,0,2.0
P26738,False,22,0,4.0
D2DGD4,False,14,0,4.0
P01327,False,17,0,4.0
Q93WH6,False,7,0,1.0
Q6T6H8,False,19,0,0.0
Q41114,False,11,0,1.0
P30836,False,20,0,0.0
B3EWF4,False,3,0,3.0
Q58T91,False,22,0,1.0
P26214,False,6,0,0.0
A2R5S4,False,6,0,0.0
P0CU55,False,19,0,0.0
P00433,False,3,0,0.0
P0CU54,False,19,0,0.0
Q7M1E7,False,23,0,1.0
P43212,False,24,0,1.0
Q9FY19,False,25,0,1.0
Q9Y833,False,18,0,0.0
Q9P358,False,26,0,0.0
P41749,False,23,0,0.0
B0Y4Z4,False,23,0,0.0
Q4WQT2,False,23,0,0.0
Q8NK99,False,26,0,0.0
A2R8F8,False,26,0,0.0
Q9P4W4,False,23,0,0.0
P49575,False,23,0,0.0
A1CVV8,False,23,0,0.0
P41750,False,23,0,0.0
B0YAH0,False,23,0,0.0
B8N7Z8,False,23,0,0.0
Q4WBE1,False,23,0,0.0
Q1HAY5,False,12,0,0.0
A2QCV8,False,12,0,0.0
A2QBB6,False,6,0,0.0
O42809,False,6,0,0.0
B0XPA1,False,18,0,0.0
Q4WR80,False,18,0,0.0
P26215,False,23,0,0.0
Q5ATQ3,False,12,0,0.0
A1D145,False,18,0,0.0
P05117,False,28,0,1.0
B8MF81,False,23,0,1.0
D4D7C5,False,12,0,1.0
Q8SQ41,False,18,0,1.0
Q689Z7,False,18,0,1.0
Q9BMP8,False,3,0,1.0
Q8IDN0,False,23,0,1.0
Q9N2D3,False,25,0,1.0
Q64411,False,25,0,1.0
P20142,False,25,0,1.0
P0CU63,False,42,0,2.0
Q9D7R7,False,25,0,1.0
P0CU64,False,42,0,2.0
P0CU65,False,42,0,2.0
Q9GMY2,False,25,0,1.0
P04073,False,25,0,1.0
Q9GMY3,False,25,0,1.0
Q9GMY4,False,25,0,1.0
P81498,False,25,0,1.0
Q2WCN8,False,22,0,3.0
Q2WCN7,False,22,0,3.0
Q2WCN6,False,33,0,3.0
Q2WCN5,False,48,0,3.0
Q59UP6,False,11,0,0.0
Q5ACN3,False,3,0,0.0
Q5ACP5,False,11,0,0.0
Q5A343,False,10,0,0.0
Q5A4X8,False,28,0,0.0
P53872,False,11,0,4.0
Q5A1E1,False,7,0,0.0
Q5AHE8,False,10,0,0.0
Q5AHA4,False,11,0,0.0
Q5AEG7,False,10,0,0.0
Q5AD34,False,10,0,0.0
Q5ACL7,False,28,0,0.0
Q59V02,False,10,0,0.0
Q59V01,False,7,0,0.0
Q59L86,False,28,0,0.0
Q5AA09,False,10,0,3.0
Q5AD23,False,10,0,0.0
Q5A5K7,False,7,0,4.0
Q5A5U6,False,10,0,0.0
Q5A5U9,False,10,0,0.0
Q5ADQ7,False,10,0,0.0
Q5AHC0,False,11,0,2.0
Q5A210,False,10,0,0.0
Q5AK97,False,3,0,0.0
Q59N10,False,28,0,0.0
Q5A1B3,False,10,0,0.0
Q5A1B2,False,3,0,0.0
Q5A1A9,False,10,0,0.0
Q5AJK6,False,10,0,0.0
Q5AA33,False,10,0,1.0
Q59Y11,False,11,0,4.0
G1UBC2,False,10,0,0.0
P52718,False,16,0,4.0
Q59L96,False,11,0,0.0
Q59QA5,False,27,0,0.0
Q5AJY5,False,17,0,0.0
Q59MD0,False,7,0,2.0
A8W7M7,False,42,0,2.0
Q59L72,False,3,0,1.0
Q5AMJ5,False,10,0,3.0
Q5AFC2,False,10,0,1.0
U5L397,False,42,0,2.0
Q59SG9,False,11,0,2.0
Q5AMF7,False,29,0,0.0
A0A023IWI8,False,42,0,2.0
Q5AG46,False,10,0,3.0
Q5AF39,False,10,0,3.0
Q59VW6,False,17,0,0.0
Q5ABW2,False,11,0,4.0
Q5A8I6,False,11,0,2.0
Q5AF41,False,10,0,3.0
Q5APJ9,False,10,0,3.0
Q96TS6,False,30,0,2.0
P33182,False,17,0,1.0
Q59UT5,False,7,0,0.0
Q9P8G3,False,2,0,0.0
P01212,False,22,0,0.0
P0DP56,False,22,0,0.0
P47969,False,22,0,0.0
P50175,False,22,0,0.0
P52719,False,28,0,4.0
P03954,False,16,0,1.0
P28712,False,18,0,1.0
P27677,False,16,0,1.0
P27821,False,18,0,1.0
P0DJD8,False,20,0,1.0
Q9HEZ3,False,30,0,1.0
P27822,False,20,0,1.0
P0DJD7,False,20,0,1.0
P27678,False,16,0,1.0
P28713,False,18,0,1.0
P0DJD9,False,20,0,1.0
Q9D106,False,20,0,1.0
P27823,False,20,0,1.0
D4ANC3,False,12,0,1.0
E5R1B9,False,15,0,1.0
C5FBS2,False,15,0,1.0
P17946,False,6,0,1.0
A1CBR4,False,6,0,1.0
B0Y1V8,False,6,0,1.0
P41748,False,10,0,1.0
P42785,False,15,0,0.0
A2R3L3,False,6,0,1.0
P55325,False,6,0,1.0
P0CU33,False,30,0,1.0
A0A146F0J0,False,30,0,1.0
Q12567,False,6,0,1.0
P00792,False,18,0,1.0
Q9N2D4,False,20,0,1.0
Q9GMY6,False,20,0,1.0
Q7TMR0,False,24,0,0.0
P00793,False,34,0,1.0
O93885,False,6,0,1.0
E5A7T3,False,25,0,1.0
P11489,False,20,0,1.0
A1DDK1,False,6,0,1.0
Q5RBU7,False,15,0,0.0
Q69IF8,False,25,0,1.0
P00791,False,20,0,1.0
Q9GMY7,False,20,0,1.0
Q9GMY8,False,10,0,1.0
P81497,False,20,0,1.0
P12019,False,3,0,1.0
Q9LZL3,False,27,0,0.0
Q9FNQ2,False,3,0,1.0
Q9SD84,False,3,0,1.0
Q9FZ86,False,3,0,1.0
Q93V72,False,11,0,1.0
Q9M2K6,False,3,0,1.0
P0ABF1,False,17,0,1.0
Q9SKW7,False,28,0,0.0
P0DN99,False,17,0,1.0
Q2TA14,False,35,0,0.0
E2AX75,False,48,0,0.0
P81565,False,22,0,3.0
Q5DVA6,False,22,0,3.0
Q93Z04,False,3,0,0.0
Q7T141,False,6,0,0.0
Q98ST6,False,6,0,0.0
O43692,False,25,0,0.0
Q8BS03,False,17,0,0.0
Q3KPV7,False,10,0,0.0
Q5K4E3,False,16,0,3.0
Q9UKY0,False,10,0,1.0
Q92058,False,7,0,1.0
P43076,False,7,0,0.0
Q70Y14,False,37,0,0.0
Q32RP3,False,37,0,0.0
P69560,False,26,0,4.0
P28065,False,34,0,2.0
P32036,False,26,0,4.0
A4QJB1,False,37,0,1.0
Q7YJX6,False,37,0,1.0
O54861,False,38,0,1.0
P97574,False,30,0,0.0
Q08264,False,23,0,0.0
P18301,False,23,0,0.0
O18495,False,19,0,4.0
F8S0Z7,False,29,0,4.0
B6EWW8,False,29,0,4.0
Q5AJC0,False,3,0,4.0
P07911,False,3,0,4.0
P48733,False,3,0,4.0
Q862Z3,False,7,0,4.0
Q91X17,False,23,0,4.0
Q5R5C1,False,3,0,4.0
P27590,False,23,0,4.0
Q5USN7,False,18,0,4.0
P0C8W1,False,19,0,4.0
P01149,False,25,0,0.0
A0A023IWK4,False,42,0,2.0
A0A023IWK5,False,42,0,2.0
P84348,False,25,0,0.0
Q7YT39,False,39,0,3.0
P50497,False,11,0,3.0
Q03643,False,11,0,3.0
Q9ERA7,False,29,0,0.0
B0BK72,False,6,0,1.0
Q01416,False,25,0,1.0
E1ZXU8,False,49,0,1.0
Q4X136,False,6,0,1.0
Q6FNB1,False,24,0,1.0
C4PRC1,False,30,0,0.0
Q9KKA3,False,27,0,1.0
D4DFT3,False,25,0,2.0
Q53020,False,27,0,1.0
Q9BPA1,False,4,0,4.0
Q3YEE1,False,22,0,4.0
Q8IS41,False,14,0,4.0
Q7Z027,False,4,0,4.0
Q26443,False,22,0,4.0
Q7M761,False,16,0,4.0
Q9PUI1,False,25,0,2.0
Q91826,False,44,0,3.0
A7LCJ2,False,8,0,2.0
Q8UUH9,False,6,0,2.0
Q3ECM0,False,28,0,0.0
Q9I846,False,6,0,2.0
P19259,False,11,0,0.0
Q01129,False,25,0,1.0
P21810,False,25,0,1.0
A1CIV8,False,23,0,0.0
O35417,False,13,0,0.0
P06300,False,13,0,0.0
Q70HJ4,False,6,0,0.0
Q8NK98,False,23,0,0.0
A1DAQ2,False,23,0,0.0
Q5A6M0,False,7,0,3.0
Q5A6M2,False,3,0,1.0
Q5A5M7,False,11,0,4.0
U3UBT3,False,22,0,3.0
P81941,False,20,0,4.0
P46999,False,25,0,2.0
P36491,False,26,0,4.0
P06281,False,29,0,1.0
P09646,False,5,0,0.0
Q5Y4Y4,False,23,0,3.0
Q5Y4Y3,False,39,0,3.0
Q5Y4Y2,False,19,0,3.0
Q5Y4Y0,False,19,0,3.0
Q5Y4X9,False,39,0,3.0
Q5Y4X7,False,39,0,3.0
Q5Y4X6,False,23,0,3.0
Q5Y4X5,False,39,0,3.0
Q5Y4X4,False,19,0,3.0
